Contract ID,Timestamp,Balance,Current candle open,Current candle close,Current candle high,Current candle low,Current candle netchange,Previous candle open,Previous candle close,Previous candle high,Previous candle low,Previous candle netchange,Oldest candle open,Oldest candle close,Oldest candle high,Oldest candle low,Oldest candle netchange,B/S,MACD line,Signal_line,Histogram,Profit/Loss,Status
99,2024-11-11T00:46:59.634,0.0,21201,21202,21196,21151,74.6,21151.5,21195,21197,21196,21151,74.6,21151.5,21195,21197,21196,21151,71.9,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T00:50:00.738,0.0,21194,21196,21202,21151,80.0,21151.5,21201,21202,21196,21151,74.6,21151.5,21195,21197,21196,21151,74.6,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T00:53:01.082,0.0,21197,21199,21202,21151,80.0,21151.5,21194,21196,21202,21151,80.0,21151.5,21201,21202,21196,21151,74.6,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T00:56:01.581,0.0,21197,21199,21202,21151,76.1,21151.5,21197,21199,21202,21151,80.0,21151.5,21194,21196,21202,21151,80.0,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T00:59:00.916,0.0,21194,21196,21202,21151,78.1,21151.5,21197,21199,21202,21151,76.1,21151.5,21197,21199,21202,21151,80.0,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:02:02.377,0.0,21199,21200,21202,21151,78.1,21151.5,21194,21196,21202,21151,78.1,21151.5,21197,21199,21202,21151,76.1,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:05:02.451,0.0,21194,21196,21202,21151,78.1,21151.5,21199,21200,21202,21151,78.1,21151.5,21194,21196,21202,21151,78.1,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:08:03.185,0.0,21190,21192,21202,21151,78.1,21151.5,21194,21196,21202,21151,78.1,21151.5,21199,21200,21202,21151,78.1,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:11:03.863,0.0,21185,21186,21202,21151,77.2,21151.5,21190,21192,21202,21151,78.1,21151.5,21194,21196,21202,21151,78.1,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:21:27.953,0.0,21192,21194,21202,21151,67.1,21151.5,21190,21192,21202,21151,67.1,21151.5,21186,21188,21202,21151,68.8,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:24:25.320,0.0,21189,21191,21202,21151,69.8,21151.5,21192,21194,21202,21151,67.1,21151.5,21190,21192,21202,21151,67.1,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:27:27.413,0.0,21188,21190,21202,21151,69.8,21151.5,21189,21191,21202,21151,69.8,21151.5,21192,21194,21202,21151,67.1,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:30:29.504,0.0,21184,21186,21202,21151,74.2,21151.5,21188,21190,21202,21151,69.8,21151.5,21189,21191,21202,21151,69.8,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:33:29.870,0.0,21183,21184,21202,21151,68.7,21151.5,21184,21186,21202,21151,74.2,21151.5,21188,21190,21202,21151,69.8,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
99,2024-11-11T01:36:30.381,0.0,21180,21182,21202,21151,68.7,21151.5,21183,21184,21202,21151,68.7,21151.5,21184,21186,21202,21151,74.2,21151.5,HOLD,N/A,N/A,N/A,N/A,OPEN
