Open,Close,High,Low
10935.6,10929.4,10938.1,10927.6
10929.5,10935.1,10937.6,10929.1
10935.0,10929.8,10936.9,10925.4
10929.6,10930.1,10936.9,10924.5
10929.6,10942.1,10944.4,10929.6
10942.3,10941.1,10945.1,10935.3
10940.5,10939.5,10941.1,10936.3
10939.6,10942.5,10944.5,10939.4
10942.4,10928.5,10946.3,10927.6
10928.6,10920.8,10930.1,10917.3
10920.4,10909.6,10921.9,10907.9
10909.6,10923.1,10924.8,10909.0
10923.0,10917.5,10926.4,10916.0
10917.6,10910.4,10920.9,10909.4
10910.0,10914.1,10922.0,10909.6
10913.8,10920.5,10925.9,10913.8
10920.4,10916.3,10921.9,10914.5
10916.4,10916.5,10917.4,10908.8
10916.3,10896.4,10918.3,10895.4
10896.1,10905.3,10906.3,10890.8
10905.5,10909.1,10912.0,10898.6
10910.6,10923.0,10924.6,10905.3
10923.1,10929.0,10930.4,10917.6
10928.5,10929.1,10935.9,10928.0
10929.0,10943.9,10944.4,10927.4
10944.1,10964.1,10965.8,10939.9
10963.9,10950.5,10964.9,10948.5
10950.6,10947.8,10959.4,10947.1
10947.9,10948.8,10951.3,10938.1
10948.6,10954.0,10956.1,10941.9
10953.9,10948.8,10958.3,10945.6
10948.9,10941.1,10950.0,10940.8
10941.4,10942.8,10943.8,10930.8
10942.8,10928.0,10946.0,10922.8
10928.5,10934.0,10938.0,10925.3
10933.9,10931.1,10940.0,10928.5
10930.9,10930.6,10934.5,10923.8
10930.5,10930.1,10935.4,10925.4
10930.0,10951.4,10954.3,10929.8
10953.0,10899.6,10958.6,10879.9
10899.3,10921.8,10944.8,10899.3
10922.3,10888.0,10964.3,10882.9
10888.5,10902.5,10907.3,10872.9
10902.5,10899.0,10929.4,10895.5
10899.3,10900.0,10913.5,10881.8
10899.3,10830.3,10934.6,10823.8
10830.3,10815.0,10849.5,10801.4
10816.1,10813.7,10817.9,10781.1
10814.3,10827.7,10837.4,10807.2
10827.5,10817.0,10841.4,10799.9
10817.0,10828.7,10828.7,10792.9
10828.2,10818.2,10830.2,10791.4
10818.2,10819.2,10840.0,10813.3
10819.2,10855.5,10859.5,10809.3
10855.4,10879.2,10883.2,10854.7
10879.4,10874.9,10882.5,10866.4
10875.2,10879.3,10879.4,10863.2
10880.9,10860.7,10885.9,10860.2
10860.7,10872.7,10878.3,10856.7
10872.2,10894.0,10894.9,10870.8
10893.9,10893.3,10898.8,10885.0
10893.3,10889.4,10898.5,10887.0
10889.3,10907.7,10912.4,10886.2
10907.4,10950.4,10955.9,10907.4
10950.8,10971.8,10976.0,10950.7
10972.3,10975.7,10982.2,10972.3
10975.4,10971.4,10977.7,10963.5
10971.5,10971.8,10976.7,10961.3
10971.7,10961.9,10982.4,10960.8
10962.4,10958.7,10968.3,10951.3
10958.9,10953.4,10959.4,10944.2
10953.0,10953.7,10958.4,10947.3
10954.2,10962.9,10964.8,10951.2
10962.7,10972.9,10973.2,10957.2
10972.8,10956.0,10973.4,10953.9
10956.2,10964.9,10972.2,10954.4
10965.2,10972.3,10973.5,10958.2
10972.7,10970.9,10974.5,10966.0
