Open,Close,High,Low,ATR,MACD,Signal Line,Trade
11998.4,12007.3,12010.0,11992.3,36.79285714285704,-19.21,-1.07,SELL
12014.0,12006.0,12015.4,11988.4,17.657142857142908,-21.7,-23.5,BUY
12055.7,12055.6,12058.3,12051.8,10.164285714285793,-9.54,-13.47,BUY
12777.3,12755.9,12779.2,12751.1,28.11428571428561,-55.49,-31.89,SELL
12791.4,12801.0,12803.5,12786.5,16.721428571428856,-12.31,-23.87,BUY
12680.0,12654.6,12699.8,12646.6,51.86428571428561,18.65,2.47,BUY
12654.5,12646.1,12674.7,12646.1,50.07857142857132,9.23,4.86,BUY
12627.1,12620.1,12630.1,12615.6,53.72142857142847,15.47,11.41,BUY
12599.8,12605.1,12606.2,12594.3,52.41428571428566,19.81,9.34,BUY
12599.7,12595.8,12602.7,12594.7,10.535714285714675,43.32,49.19,SELL
12589.2,12572.1,12597.2,12570.1,30.264285714285897,18.67,20.22,SELL
12482.4,12497.3,12501.7,12480.8,23.392857142857142,-22.23,-8.15,SELL
12497.2,12496.1,12505.6,12493.4,22.871428571428623,-21.23,-11.24,SELL
12420.5,12459.6,12472.0,12417.0,61.228571428571094,-28.34,-18.11,SELL
12598.0,12590.5,12613.5,12580.0,50.935714285714184,36.95,-9.22,BUY
12656.5,12642.5,12687.5,12642.5,37.46428571428584,-5.46,11.78,SELL
12698.8,12700.6,12700.6,12697.2,22.464285714285843,-38.79,-55.89,BUY
12701.3,12692.7,12702.0,12690.5,10.721428571428858,-9.3,-39.92,BUY
12710.1,12713.7,12716.5,12704.7,11.257142857142883,1.36,-0.62,BUY
12507.8,12536.6,12539.6,12504.2,29.72857142857161,57.93,33.2,BUY
12503.3,12522.1,12523.9,12502.6,22.878571428571377,-7.96,9.19,SELL
12522.2,12521.7,12528.8,12503.3,23.785714285714285,-6.25,3.52,SELL
12656.9,12642.8,12659.0,12640.0,17.150000000000155,-3.26,4.83,SELL
12543.2,12550.0,12551.5,12530.4,28.757142857142885,32.07,6.37,BUY
12549.9,12524.0,12549.9,12520.3,29.557142857142935,30.23,9.78,BUY
12538.3,12501.0,12541.5,12500.3,22.56428571428569,26.25,20.98,BUY
12387.8,12392.4,12394.5,12387.8,23.692857142857196,26.1,24.09,BUY
12266.2,12274.7,12276.0,12264.8,18.721428571428856,22.61,17.81,BUY
12289.5,12342.5,12351.5,12288.1,35.99999999999987,-6.12,19.26,SELL
12270.5,12266.6,12279.5,12254.7,27.257142857143013,10.71,1.58,BUY
12234.1,12233.7,12250.2,12229.0,22.935714285714443,33.68,22.47,BUY
12351.4,12355.4,12357.6,12349.9,8.400000000000025,-11.37,-6.82,SELL
12499.1,12499.1,12506.1,12495.9,19.07142857142844,-38.46,-19.23,SELL
